  110                        00 21 28.7   -77 25 36    5.97         star K3III
  111                        23 33 19.6   -77 23 07    5.81         star G2V
  112 Nu  Oct                21 41 28.5   -77 23 24    3.76  A      star K0III
  113 Iot Hyi                03 15 57.7   -77 23 17    5.52         star F4III
  114 Bet Hyi                00 25 45.2   -77 15 14    2.80         star G2IV
  115                        07 36 04.3   -77 38 02    6.18         star M0III
  116                        14 16 55.0   -77 39 50    6.47         star K2II
  117 Bet Aps                16 43 04.6   -77 31 02    4.24  W      star K0III
  118 The Oct                00 01 35.8   -77 03 56    4.78         star K3III
  119                        11 21 57.2   -77 36 29    6.43         star A5III
  120 The Cha                08 20 38.6   -77 29 03    4.35  W      star K2III
  121                        22 49 40.9   -77 03 02    6.73         star A4V
  122                        13 33 14.9   -77 34 05    6.48  W      star F6V
  123 Alp Oct                21 04 43.0   -77 01 25    5.15         star A7III
  124                        23 38 24.2   -76 52 12    6.00         star K0III
  125                        15 00 11.8   -77 09 36    5.93         star G8II
  126 Alp Cha                08 18 31.7   -76 55 10    4.07         star F5III
  127 The Aps                14 05 19.9   -76 47 47    5.50         star M6III
  128 Nu  Cha                09 46 20.7   -76 46 33    5.45         star G8III
  129                        14 29 36.8   -76 43 44    6.07         star K0III
  130                        14 57 53.0   -76 39 45    5.34         star K4III
  131                        09 12 12.4   -76 39 46    6.14         star K1III
  132                        21 08 47.9   -76 12 44    6.58         star K1III
  133 Gam Men                05 31 53.0   -76 20 28    5.19  W      star K2III
  134                        22 11 55.3   -76 06 58    6.15         star K0III
  135                        22 03 03.8   -76 07 06    5.95  W      star F3III
  136 Mu 1Oct                20 42 02.9   -76 10 50    6.00         star F4III
  137 Kap Cha                12 04 46.6   -76 31 09    5.04         star K4III
  138                        00 15 55.3   -75 54 40    6.49         star G8III
  139                        17 57 41.8   -76 10 38    6.07  W      star K2III
  140                        22 10 42.5   -75 52 50    6.55         star K2III
  141                        10 35 24.9   -76 18 32    6.30         star K2III
  142                        15 41 54.6   -76 04 54    5.95         star B9V
  143                        18 11 15.7   -75 53 28    5.86  W      star K2III
  144 Pi  Cha                11 37 15.7   -75 53 47    5.65         star F1III
  145                        21 18 16.1   -75 20 48    6.63         star A1V
  146 Mu 2Oct                20 41 43.7   -75 21 02    6.55  W      star G5III
  147                        13 39 12.0   -75 41 02    6.34         star B8IV
  148 Nu  Hyi                02 50 28.6   -75 04 01    4.75         star K3III
  149                        22 25 51.0   -75 00 56    6.04  W      star G3V
  150 Lam Hyi                00 48 35.5   -74 55 23    5.07         star K5III
  151                        12 39 14.6   -75 22 10    6.49  W      star B8V
  152                        12 07 49.9   -75 22 00    5.18         star K2II
  153 Phi Oct                18 23 36.1   -75 02 38    5.47         star A0V
  154 Eta Men                04 55 11.3   -74 56 13    5.47         star K4III
  155                        11 19 36.4   -75 08 32    6.27         star B9V
  156                        14 59 56.0   -75 01 56    6.20  W      star B9V
  157                        10 57 15.8   -75 05 58    6.13         star K1II
  158 Alp Men                06 10 14.5   -74 45 11    5.09         star G6V
  159                        09 17 25.5   -74 53 39    5.29  W      star A1V
  160 Iot1Mus                13 25 07.1   -74 53 16    5.05         star K0III
  161                        14 08 27.1   -74 51 01    6.02         star G2IV
  162                        09 17 27.5   -74 44 04    5.86         star A0V
