ugriz~J060010.8-595016 90.04516666666667 -59.838 15.609 0.006 14.204 0.003 13.738 0.002 13.590 0.002 13.553 0.002
ugriz~J060024.5-595012 90.10212500000002 -59.83677777777779 16.226 0.034 14.441 0.003 13.775 0.002 13.508 0.002 13.377 0.002
ugriz~J055857.3-595505 89.73904166666668 -59.91808333333333 16.983 0.050 14.770 0.010 13.986 0.006 13.690 0.006 13.534 0.009
ugriz~J055901.9-595316 89.75791666666667 -59.887777777777785 17.233 0.029 14.919 0.006 14.082 0.003 13.759 0.003 13.592 0.005
ugriz~J060044.0-595619 90.18350000000001 -59.93877777777777 16.059 0.009 14.585 0.006 14.084 0.004 13.897 0.004 13.833 0.006
ugriz~J055950.4-595302 89.96037500000001 -59.88388888888888 15.725 0.006 14.612 0.003 14.212 0.002 14.077 0.002 14.024 0.003
ugriz~J055943.0-600013 89.92954166666668 -60.00377777777777 15.830 0.008 14.656 0.003 14.237 0.003 14.097 0.002 14.055 0.003
ugriz~J055957.1-595155 89.98816666666667 -59.865277777777784 16.662 0.011 14.898 0.004 14.273 0.002 14.057 0.003 13.956 0.003
ugriz~J055944.1-600235 89.93408333333335 -60.043083333333335 16.345 0.016 14.809 0.005 14.274 0.004 14.085 0.004 14.033 0.003
ugriz~J055927.8-595557 89.86616666666667 -59.93258333333333 16.881 0.038 15.008 0.004 14.363 0.003 14.189 0.003 14.107 0.003
ugriz~J055900.9-600021 89.75395833333334 -60.00600000000001 16.500 0.038 14.931 0.008 14.393 0.009 14.177 0.008 14.121 0.010
ugriz~J060014.1-595702 90.05875 -59.95077777777778 17.025 0.021 15.143 0.004 14.428 0.009 14.165 0.002 14.023 0.002
ugriz~J060003.9-595102 90.016375 -59.85069444444444 16.231 0.011 14.911 0.004 14.449 0.002 14.291 0.002 14.229 0.004
ugriz~J055901.4-600028 89.75620833333333 -60.008 16.815 0.026 15.128 0.009 14.511 0.007 14.283 0.008 14.190 0.013
ugriz~J055914.1-595124 89.80904166666666 -59.85677777777777 15.866 0.007 14.835 0.004 14.514 0.003 14.393 0.003 14.370 0.004
ugriz~J055946.9-595401 89.94575 -59.90038888888889 16.332 0.012 15.017 0.004 14.534 0.003 14.389 0.002 14.321 0.003
ugriz~J055921.8-595211 89.84104166666667 -59.86988888888889 16.870 0.013 15.230 0.006 14.633 0.002 14.436 0.003 14.342 0.004
ugriz~J055928.5-600024 89.86879166666667 -60.00677777777778 17.030 0.020 15.333 0.005 14.719 0.004 14.511 0.003 14.426 0.005
ugriz~J055933.6-595857 89.89008333333334 -59.98258333333333 16.980 0.043 15.428 0.006 14.732 0.004 14.434 0.003 14.275 0.004
ugriz~J055905.7-595902 89.77383333333333 -59.984 16.325 0.046 15.170 0.007 14.774 0.005 14.635 0.007 14.619 0.006
ugriz~J055951.2-595032 89.96370833333333 -59.84227777777778 16.653 0.012 15.436 0.005 14.954 0.004 14.766 0.003 14.679 0.005
ugriz~J055933.8-600022 89.89083333333335 -60.006194444444446 16.998 0.020 15.583 0.006 15.095 0.005 14.949 0.004 14.901 0.006
ugriz~J055940.4-595208 89.91870833333334 -59.86888888888889 16.844 0.018 15.755 0.009 15.340 0.004 15.203 0.005 15.140 0.007
ugriz~J055928.0-595458 89.86679166666667 -59.91627777777778 17.332 0.078 15.883 0.010 15.367 0.006 15.201 0.006 15.143 0.007
